Footprint name,Library name,Description,Tags,Package type,Spacing between rows,Number of pads,Pitch,Pad length,Pad width,Body width max,Body length max,Pad shape,Drill size,Body width
DIP-40_W15.24mm,Housings_DIP,"40-lead dip package, row spacing 15.24 mm (600 mils)",dil dip 2.54 600,DIL,15.24,40,2.54,1.6,1.6,14.82,52.7,oval,0.8,6.5
DIP-40_W15.24mm_LongPads,Housings_DIP,"40-lead dip package, row spacing 15.24 mm (600 mils), longer pads",dil dip 2.54 600,DIL,15.24,40,2.54,2.3,1.6,14.82,52.7,oval,0.8,6.5
DIP-40_W25.4mm,Housings_DIP,"40-lead dip package, row spacing 25.4 mm (1000 mils)",dil dip 2.54 1000,DIL,25.4,40,2.54,1.6,1.6,22.44,52.7,oval,0.8,6.5
DIP-40_W25.4mm_LongPads,Housings_DIP,"40-lead dip package, row spacing 25.4 mm (1000 mils), longer pads",dil dip 2.54 1000,DIL,25.4,40,2.54,2.3,1.6,22.44,52.7,oval,0.8,6.5
DIP-48_W15.24mm,Housings_DIP,"48-lead dip package, row spacing 15.24 mm (600 mils)",dil dip 2.54 600,DIL,15.24,48,2.54,1.6,1.6,14.82,62.86,oval,0.8,6.5
DIP-48_W15.24mm_LongPads,Housings_DIP,"48-lead dip package, row spacing 15.24 mm (600 mils), longer pads",dil dip 2.54 600,DIL,15.24,48,2.54,2.3,1.6,14.82,62.86,oval,0.8,6.5
DIP-4_W7.62mm,Housings_DIP,"4-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,4,2.54,1.6,1.6,7.2,6.98,oval,0.8,6.5
DIP-4_W7.62mm_LongPads,Housings_DIP,"4-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,4,2.54,2.3,1.6,7.2,6.98,oval,0.8,6.5
DIP-64_W15.24mm,Housings_DIP,"64-lead dip package, row spacing 15.24 mm (600 mils)",dil dip 2.54 600,DIL,15.24,64,2.54,1.6,1.6,14.82,83.18,oval,0.8,6.5
DIP-64_W15.24mm_LongPads,Housings_DIP,"64-lead dip package, row spacing 15.24 mm (600 mils), longer pads",dil dip 2.54 600,DIL,15.24,64,2.54,2.3,1.6,14.82,83.18,oval,0.8,6.5
DIP-64_W22.86mm,Housings_DIP,"64-lead dip package, row spacing 22.86 mm (900 mils)",dil dip 2.54 900,DIL,22.86,64,2.54,1.6,1.6,22.44,83.18,oval,0.8,6.5
DIP-64_W22.86mm_LongPads,Housings_DIP,"64-lead dip package, row spacing 22.86 mm (900 mils), longer pads",dil dip 2.54 900,DIL,22.86,64,2.54,2.3,1.6,22.44,83.18,oval,0.8,6.5
DIP-6_W7.62mm,Housings_DIP,"6-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,6,2.54,1.6,1.6,7.2,9.52,oval,0.8,6.5
DIP-6_W7.62mm_LongPads,Housings_DIP,"6-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,6,2.54,2.3,1.6,7.2,9.52,oval,0.8,6.5
DIP-8_W7.62mm,Housings_DIP,"8-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,8,2.54,1.6,1.6,7.2,12.06,oval,0.8,6.5
DIP-8_W7.62mm_LongPads,Housings_DIP,"8-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,8,2.54,2.3,1.6,7.2,12.06,oval,0.8,6.5
