Footprint name,Library name,Package type,Description,Manufacturer,Datasheet,Tags,Pad length,Pad width,Distance between pads - end to end,Distance between pads centers,Overall width toe-to-toe min,Overall width toe-to-toe max,Terminal length min,Terminal length max,Terminal width min,Terminal width max,Pad shape,Body width max,Body length max,Body width,Body length,Body heigth,Body diameter,Lead width,Lead length,Lead thickness,Lead-lead spacing
C_Elec_8.3x8.3x6.2mm,Capacitors_SMD,Electrolytic_Capacitor_SMD,example,-,-,capacitor c polymer electrolytic aluminum,4,1.6,0,6.2,0,0,0,0,0,0,rect,8.5,8.5,8.3,8.3,6.2,8,0.65,3.4,0.3,2.2
C_Elec_13.5x13.5x13.5mm,Capacitors_SMD,Electrolytic_Capacitor_SMD,example,-,-,capacitor c polymer electrolytic aluminum,5.7,2,0,9.7,0,0,0,0,0,0,rect,13.7,13.7,13.5,13.5,13.5,12.5,0.9,4.7,0.3,4.4
